datetimestamp,players_connected,games_hosted,hosts_per_min,games_joined,joins_per_min,queries_per_min,total_accounts,logins_per_minute,chat_users
20060105185906,674,"2,576,055",6,"10,645,258",70,,,37,
20060105214629,892,"2,681,985",21,"11,519,615",90,,,57,
20060106004253,1257,"4,685,227",14,"30,638,836",104,414,"448,643",17,393
20060106032648,385,"5,171,210",2,"36,006,292",24,69,"478,883",5,383
20060106043057,2238,"5,693,485",18,"42,150,512",251,863,"510,166",38,391
20060106234610,524,"5,818,461",3,"43,624,248",16,98,"517,127",8,116
20060110100148,2299,"5,850,025",29,"44,000,056",320,"1,097","518,890",54,454
20060110194050,2279,"5,854,908",14,"44,059,756",195,622,"519,156",28,379
20060111035718,1739,"5,864,003",14,"44,158,548",179,563,"519,553",22,340
20060112103800,1462,"5,869,346",20,"44,219,860",184,681,"519,856",35,312
20060113052039,656,"5,892,789",3,"44,501,860",42,189,"520,937",11,118
20060114035517,1096,"5,943,009",10,"45,088,500",115,433,"523,871",20,231
20060115072157,2139,"5,992,862",23,"45,691,800",285,939,"526,772",26,424
20060116053136,2050,"6,066,159",19,"46,543,704",261,909,"530,785",43,380
20060117030558,1384,"6,116,579",17,"47,147,332",133,474,"534,076",16,293
20060118035137,2440,"6,132,935",25,"47,354,276",296,"1,093","535,032",54,487
20060202003934,758,"6,140,904",4,"47,447,584",65,266,"535,446",6,166
20060202201605,,,,,,,,,
20060203064618,2506,"6,201,132",30,"48,167,624",369,"1,227","539,237",61,504
20060203100400,1601,"6,206,711",13,"48,230,268",131,589,"539,514",29,318
20060204165951,1131,"6,207,528",11,"48,239,188",84,355,"539,552",11,245
20060206184137,1961,"6,228,501",11,"48,484,628",153,617,"540,806",26,
20060206230202,2417,"6,247,294",25,"48,718,760",345,"1,131","541,866",50,457
20060207035208,2528,"6,272,020",31,"49,043,748",273,967,"543,367",35,499
20060207055519,773,"6,302,577",6,"49,415,536",60,216,"545,233",9,144
20060208022518,1461,"6,306,305",25,"49,455,372",214,741,"545,506",41,280
20060209033115,958,"6,367,829",8,"50,199,164",94,352,"549,064",15,210
20040703124349.html,597,"6,368,984",7,"50,211,468",41,225,"549,141",22,129
20040706083720.html,997,"6,430,254",1,"50,953,412",69,235,"553,288",9,175
20040707010328.html,2258,"6,444,400",22,"51,129,912",286,"1,100","554,219",60,440
20040708054951.html,1636,"6,474,011",15,"51,485,752",201,662,"555,916",38,334
20040710081724.html,1246,"6,518,205",7,"52,022,072",106,382,"558,768",18,194
20040710164128.html,1233,"6,521,459",20,"52,061,752",170,644,"559,010",39,207
20040712044109.html,2170,"6,562,933",12,"52,568,272",265,808,"561,357",44,407
20040713073834.html,1386,"6,588,481",12,"52,897,768",125,382,"562,967",15,239
20040714032912.html,2605,"6,606,868",26,"53,125,508",378,"1,082","564,146",49,388
20040715010904.html,2457,"6,626,106",20,"53,369,128",360,"1,051","565,337",59,473
20040715085939.html,1061,"6,635,181",2,"53,474,560",76,225,"565,840",11,152
20040717014939.html,2225,"6,672,180",21,"53,917,816",242,709,"568,000",36,381
20040718045730.html,2099,"6,696,900",23,"54,208,864",207,723,"569,515",42,345
20040720082417.html,1187,"6,747,810",6,"54,844,016",62,283,"572,366",19,181
20040721090344.html,1011,"6,771,183",8,"55,141,120",63,257,"573,775",14,154
20040723084240.html,,,,,,,,,
20040723093530.html,,,,,,,,,
20040724064303.html,,"6,837,816",20,"55,950,232",268,,"577,887",55,197
20040724081044.html,,"6,837,816",20,"55,950,232",268,,"577,887",55,105
20040725032002.html,,"6,852,269",22,"56,128,060",325,,"578,971",107,415
